image_path,label,source,font
generated/images/Caveat-Bold/digit/0/0001.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0002.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0003.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0004.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0005.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0006.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0007.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0008.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0009.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/0/0010.png,0,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0001.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0002.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0003.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0004.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0005.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0006.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0007.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0008.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0009.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/1/0010.png,1,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0001.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0002.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0003.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0004.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0005.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0006.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0007.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0008.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0009.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/2/0010.png,2,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0001.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0002.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0003.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0004.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0005.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0006.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0007.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0008.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0009.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/3/0010.png,3,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0001.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0002.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0003.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0004.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0005.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0006.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0007.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0008.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0009.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/4/0010.png,4,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0001.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0002.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0003.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0004.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0005.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0006.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0007.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0008.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0009.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/5/0010.png,5,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0001.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0002.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0003.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0004.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0005.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0006.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0007.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0008.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0009.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/6/0010.png,6,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0001.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0002.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0003.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0004.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0005.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0006.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0007.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0008.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0009.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/7/0010.png,7,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0001.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0002.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0003.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0004.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0005.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0006.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0007.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0008.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0009.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/8/0010.png,8,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0001.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0002.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0003.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0004.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0005.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0006.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0007.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0008.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0009.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/digit/9/0010.png,9,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0001.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0002.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0003.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0004.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0005.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0006.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0007.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0008.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0009.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/A/0010.png,A,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0001.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0002.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0003.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0004.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0005.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0006.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0007.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0008.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0009.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/B/0010.png,B,font,Caveat-Bold
generated/images/Caveat-Bold/upper/C/0001.png,C,font,Caveat-Bold
generated/images/Caveat-Bold/upper/C/0002.png,C,font,Caveat-Bold
generated/images/Caveat-Bold/upper/C/0003.png,C,font,Caveat-Bold
generated/images/Caveat-Bold/upper/C/0004.png,C,font,Caveat-Bold
generated/images/Caveat-Bold/upper/C/0005.png,C,font,Caveat-Bold
